Country,Year,Month,Calendar Day,Products ,Metro Cities,"Retail Selling Price (Rsp) Of Petrol And Diesel (UOM:INR/L(IndianRupeesperLitre)), Scaling Factor:1"
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-12,Petrol,Mumbai,103.50
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-12,Petrol,Chennai,100.80
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-12,Petrol,Kolkata,105.41
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-12,Diesel,Delhi,87.67
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-12,Diesel,Mumbai,90.03
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-12,Diesel,Chennai,92.39
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-12,Diesel,Kolkata,92.02
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-11,Petrol,Delhi,94.77
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-11,Petrol,Mumbai,103.50
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-11,Petrol,Chennai,100.80
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-11,Petrol,Kolkata,105.41
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-11,Diesel,Delhi,87.67
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-11,Diesel,Mumbai,90.03
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-11,Diesel,Chennai,92.39
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-11,Diesel,Kolkata,92.02
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-10,Petrol,Delhi,94.77
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-10,Petrol,Mumbai,103.50
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-10,Petrol,Chennai,100.80
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-10,Petrol,Kolkata,105.41
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-10,Diesel,Delhi,87.67
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-10,Diesel,Mumbai,90.03
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-10,Diesel,Chennai,92.39
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-10,Diesel,Kolkata,92.02
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-09,Petrol,Delhi,94.77
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-09,Petrol,Mumbai,103.50
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-09,Petrol,Chennai,100.80
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-09,Petrol,Kolkata,105.41
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-09,Diesel,Delhi,87.67
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-09,Diesel,Mumbai,90.03
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-09,Diesel,Chennai,92.39
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-09,Diesel,Kolkata,92.02
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-08,Petrol,Delhi,94.77
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-08,Petrol,Mumbai,103.50
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-08,Petrol,Chennai,100.80
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-08,Petrol,Kolkata,105.41
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-08,Diesel,Delhi,87.67
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-08,Diesel,Mumbai,90.03
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-08,Diesel,Chennai,92.39
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-08,Diesel,Kolkata,92.02
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-07,Petrol,Delhi,94.77
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-07,Petrol,Mumbai,103.50
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-07,Petrol,Chennai,100.80
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-07,Petrol,Kolkata,105.41
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-07,Diesel,Delhi,87.67
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-07,Diesel,Mumbai,90.03
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-07,Diesel,Chennai,92.39
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-07,Diesel,Kolkata,92.02
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-06,Petrol,Delhi,94.77
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-06,Petrol,Mumbai,103.50
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-06,Petrol,Chennai,100.80
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-06,Petrol,Kolkata,105.41
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-06,Diesel,Delhi,87.67
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-06,Diesel,Mumbai,90.03
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-06,Diesel,Chennai,92.39
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-06,Diesel,Kolkata,92.02
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-05,Petrol,Delhi,94.77
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-05,Petrol,Mumbai,103.50
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-05,Petrol,Chennai,100.80
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-05,Petrol,Kolkata,105.41
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-05,Diesel,Delhi,87.67
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-05,Diesel,Mumbai,90.03
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-05,Diesel,Chennai,92.39
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-05,Diesel,Kolkata,92.02
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-04,Petrol,Delhi,94.77
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-04,Petrol,Mumbai,103.50
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-04,Petrol,Chennai,100.80
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-04,Petrol,Kolkata,105.41
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-04,Diesel,Delhi,87.67
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-04,Diesel,Mumbai,90.03
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-04,Diesel,Chennai,92.39
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-04,Diesel,Kolkata,92.02
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-03,Petrol,Delhi,94.77
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-03,Petrol,Mumbai,103.50
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-03,Petrol,Chennai,100.80
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-03,Petrol,Kolkata,105.41
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-03,Diesel,Delhi,87.67
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-03,Diesel,Mumbai,90.03
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-03,Diesel,Chennai,92.39
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-03,Diesel,Kolkata,92.02
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-02,Petrol,Delhi,94.77
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-02,Petrol,Mumbai,103.50
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-02,Petrol,Chennai,100.80
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-02,Petrol,Kolkata,105.41
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-02,Diesel,Delhi,87.67
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-02,Diesel,Mumbai,90.03
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-02,Diesel,Chennai,92.39
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-02,Diesel,Kolkata,92.02
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-01,Petrol,Delhi,94.77
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-01,Petrol,Mumbai,103.50
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-01,Petrol,Chennai,100.80
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-01,Petrol,Kolkata,105.41
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-01,Diesel,Delhi,87.67
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-01,Diesel,Mumbai,90.03
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-01,Diesel,Chennai,92.39
India,"Financial Year (Apr - Mar), 2025","June, 2025",2025-06-01,Diesel,Kolkata,92.02
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-31,Petrol,Delhi,94.77
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-31,Petrol,Mumbai,103.50
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-31,Petrol,Chennai,100.80
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-31,Petrol,Kolkata,105.41
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-31,Diesel,Delhi,87.67
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-31,Diesel,Mumbai,90.03
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-31,Diesel,Chennai,92.39
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-31,Diesel,Kolkata,92.02
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-30,Petrol,Delhi,94.77
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-30,Petrol,Mumbai,103.50
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-30,Petrol,Chennai,100.80
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-30,Petrol,Kolkata,105.41
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-30,Diesel,Delhi,87.67
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-30,Diesel,Mumbai,90.03
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-30,Diesel,Chennai,92.39
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-30,Diesel,Kolkata,92.02
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-29,Petrol,Delhi,94.77
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-29,Petrol,Mumbai,103.50
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-29,Petrol,Chennai,100.80
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-29,Petrol,Kolkata,105.41
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-29,Diesel,Delhi,87.67
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-29,Diesel,Mumbai,90.03
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-29,Diesel,Chennai,92.39
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-29,Diesel,Kolkata,92.02
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-28,Petrol,Delhi,94.77
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-28,Petrol,Mumbai,103.50
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-28,Petrol,Chennai,100.80
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-28,Petrol,Kolkata,105.41
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-28,Diesel,Delhi,87.67
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-28,Diesel,Mumbai,90.03
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-28,Diesel,Chennai,92.39
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-28,Diesel,Kolkata,92.02
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-27,Petrol,Delhi,94.77
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-27,Petrol,Mumbai,103.50
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-27,Petrol,Chennai,100.80
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-27,Petrol,Kolkata,105.41
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-27,Diesel,Delhi,87.67
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-27,Diesel,Mumbai,90.03
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-27,Diesel,Chennai,92.39
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-27,Diesel,Kolkata,92.02
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-26,Petrol,Delhi,94.77
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-26,Petrol,Mumbai,103.50
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-26,Petrol,Chennai,100.80
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-26,Petrol,Kolkata,105.41
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-26,Diesel,Delhi,87.67
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-26,Diesel,Mumbai,90.03
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-26,Diesel,Chennai,92.39
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-26,Diesel,Kolkata,92.02
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-25,Petrol,Delhi,94.77
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-25,Petrol,Mumbai,103.50
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-25,Petrol,Chennai,100.80
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-25,Petrol,Kolkata,105.41
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-25,Diesel,Delhi,87.67
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-25,Diesel,Mumbai,90.03
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-25,Diesel,Chennai,92.39
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-25,Diesel,Kolkata,92.02
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-24,Petrol,Delhi,94.77
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-24,Petrol,Mumbai,103.50
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-24,Petrol,Chennai,100.80
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-24,Petrol,Kolkata,105.41
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-24,Diesel,Delhi,87.67
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-24,Diesel,Mumbai,90.03
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-24,Diesel,Chennai,92.39
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-24,Diesel,Kolkata,92.02
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-23,Petrol,Delhi,94.77
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-23,Petrol,Mumbai,103.50
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-23,Petrol,Chennai,100.80
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-23,Petrol,Kolkata,105.41
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-23,Diesel,Delhi,87.67
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-23,Diesel,Mumbai,90.03
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-23,Diesel,Chennai,92.39
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-23,Diesel,Kolkata,92.02
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-22,Petrol,Delhi,94.77
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-22,Petrol,Mumbai,103.50
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-22,Petrol,Chennai,100.80
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-22,Petrol,Kolkata,105.41
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-22,Diesel,Delhi,87.67
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-22,Diesel,Mumbai,90.03
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-22,Diesel,Chennai,92.39
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-22,Diesel,Kolkata,92.02
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-21,Petrol,Delhi,94.77
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-21,Petrol,Mumbai,103.50
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-21,Petrol,Chennai,100.80
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-21,Petrol,Kolkata,105.41
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-21,Diesel,Delhi,87.67
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-21,Diesel,Mumbai,90.03
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-21,Diesel,Chennai,92.39
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-21,Diesel,Kolkata,92.02
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-20,Petrol,Delhi,94.77
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-20,Petrol,Mumbai,103.50
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-20,Petrol,Chennai,100.80
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-20,Petrol,Kolkata,105.41
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-20,Diesel,Delhi,87.67
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-20,Diesel,Mumbai,90.03
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-20,Diesel,Chennai,92.39
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-20,Diesel,Kolkata,92.02
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-19,Petrol,Delhi,94.77
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-19,Petrol,Mumbai,103.50
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-19,Petrol,Chennai,100.80
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-19,Petrol,Kolkata,105.41
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-19,Diesel,Delhi,87.67
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-19,Diesel,Mumbai,90.03
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-19,Diesel,Chennai,92.39
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-19,Diesel,Kolkata,92.02
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-18,Petrol,Delhi,94.77
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-18,Petrol,Mumbai,103.50
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-18,Petrol,Chennai,100.80
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-18,Petrol,Kolkata,105.41
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-18,Diesel,Delhi,87.67
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-18,Diesel,Mumbai,90.03
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-18,Diesel,Chennai,92.39
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-18,Diesel,Kolkata,92.02
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-17,Petrol,Delhi,94.77
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-17,Petrol,Mumbai,103.50
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-17,Petrol,Chennai,100.80
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-17,Petrol,Kolkata,105.41
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-17,Diesel,Delhi,87.67
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-17,Diesel,Mumbai,90.03
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-17,Diesel,Chennai,92.39
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-17,Diesel,Kolkata,92.02
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-16,Petrol,Delhi,94.77
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-16,Petrol,Mumbai,103.50
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-16,Petrol,Chennai,100.80
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-16,Petrol,Kolkata,105.41
India,"Financial Year (Apr - Mar), 2025","May, 2025",2025-05-16,Diesel,Delhi,87.67
